NewsArticleID,NewsArticleTitle,NewsArticleText,label
82,Onion suicides,"I have in my head a story scenario—dystopian, fictional—where poor Filipino onion farmers who are heavily in debt rise up in revolt because of the neglect and shabby treatment they get from government officials who choose to hobnob with the world’s wealthiest and wallow in food porn, instead of addressing problems of starvation on the ground. I have it all written out in my mind, except for the details on how it would end—perhaps a bloody denouement for the protagonists and the antagonists that would spark a national revolt worthy of world attention. Think Basi Revolt of 1807 or something like that, but with media coverage.

But before I could finish the story in my cinematic imagination, here comes this newspaper’s headline story where cases of suicide by distressed onion farmers are cited, because of their desperation over their debts, loss of joy and purpose in life, the dark scenario ahead, the burden that is too heavy to bear.

I assume that the farmers’ despair and hopelessness are unlike those of the differently situated suicidals who are also experiencing extreme emotional pain and hopelessness—results of many factors—that are nevertheless just as legit. In comparison, farmers who till the soil are a hardy breed physically and emotionally, or so we think.

Many of our farmers are still into so-called subsistence agriculture for their own survival, lucky if they have surplus to sell. But I think of them as so much better situated than those who had moved to the cities and live under bridges and beside garbage-filled creeks. Alas, farmers who stay and endeavor to produce cash crops later realize that the big world out there is one sinister, dog-eat-dog world where predators hold sway.

Whenever farmers raise an outcry (as in the case of the rice tariffication law that was detrimental to them), I think of French artist Jean-François Millet’s painting that inspired American poet Edwin Markham’s “The Man with the Hoe” that we had to memorize and recite in class. It is an ekphrasis or poem that describes a piece of art, a protest poem that deals with social injustice.

Straight from memory, here goes: “Down by the centuries he leans/ Upon his hoe and gazes on the ground,/ The emptiness of ages in his face,/ And on his back the burden of the world./ Who made him dead to rapture and despair,/ A thing that grieves not and that never hopes,/ Stolid and stunned, a brother to the ox?”

Google the entire poem and the painting which is not, by any standard, Amorsolo-esque.

Last Tuesdays’ banner story (“Losses driving onion farmers to desperation,” by Melvin Gascon, Jordeene B. Lagare, and Marlon Ramos) said: “Merlita Gallardo of Bayambang, Pangasinan, the widow of an onion farmer who killed himself in January 2021, recounted to the Senate committee hearing on agriculture how their sustained losses beginning with the pandemic year worsened their anxieties.

“‘He went far away from the farm to kill himself. Because our debts were piling up, and he didn’t want to borrow [money] anymore.’” Her husband, Roger, was 49.

“Elvin Jerome Laceda, president of nongovernmental organization Young Farmers’ Challenge Club of the Philippines, said his group has learned about four other farmers in Bayambang who were also driven to suicide because of debt.”

That, while the President of this republic and himself as (his self-appointed) secretary of agriculture and his coterie of 70 or so (as reported) how-do-you-call-them are in snowy Switzerland for the World Economic Forum. While airline personnel who bring home a few kilos of onions as tacky pasalubong are threatened with smuggling charges, and the big-time onion smugglers are smug and happy.

From Leonardo Montemayor, chair of the Federation of Free Farmers: “If there had to be importation, it could have been done earlier. It should not coincide with the harvest period. It is painful for farmers who toiled in the face of typhoons, pests, high prices of fertilizers and pesticides, and then at harvest time, when they expect to recoup their expenses, imported onions would arrive.” (A translation from Tagalog.)

In some parts of the world, India among them, the farming sector has some of the highest number of suicides. Even the US farming sector has a noticeable high rate of suicide.

In this country, farming as a livelihood—not as a hobby or pastime—could drain the life out of those who till the land, an irony because it is the farming sector that nourishes us to life. How is it that the life-giving land has become a curse, a graveyard for their dreams?",1
91,"‘Release Rs 14,000-crore in food subsidy’ in Odisha","BHUBANESWAR: A delegation of MPs of the ruling BJD on Monday met Union food and distribution minister Piyush Goyal and requested him to release pending food subsidy of Rs 14,292 crore to Odisha.
The MPs in their memorandum mentioned that Odisha has been in the forefront of ensuring record production of foodgrain and being the third largest contributor of rice to the public distribution system (PDS).
While the responsibility of procurement of rice rests with the Centre, in order to ensure that the farmers of Odisha do not face any problems, the Odisha government signed an MoU with the Centre to be a decentralised procurement (DCP) state and help the farmers by procuring foodgrain on behalf of the central government.
In this reference, there is a total pending food subsidy amounting to Rs14, 292 crore that the Centre is to supposed to pay the Odisha government.
Of this Rs 14,292 crore, there are Rs 11,689 crore towards provisional food subsidy and Rs 2,603 crore towards advance subsidy, they said in the memorandum.",1
93,Rs. 304.65 Crores Loan & Rs.100.55 Crore Margin Money Subsidy Disbursed In West Zone Under PMEGP Scheme,"Taking another leap forward towards self-reliant India, Shri Manoj Kumar, Chairman, Khadi and Village Industries Commission, distributed margin money subsidy of Rs 100.55 crore to 1463 beneficiaries of Western Region (Goa, Maharashtra, Gujarat, Daman and Diu, Dadra-Nagar Haveli) against the sanctioned loan of  Rs 304.65 crore, in which  margin money grant amount of Rs 24.38 crore was Disbursed to 654 beneficiaries of Maharashtra state under Prime Ministers’ Employment Generation Programme, an employment-oriented flagship scheme of Government of India, implemented by KVIC.

 

Addressing on the occasion, the Chairman, KVIC said that the Prime Minister’s Employment Generation Program is playing a crucial role in realizing the dream of a self-reliant India of the Prime Minister. Khadi and Village Industries Commission through its various programs is generating employment opportunities for artisans at their door steps  in remote areas at very low cost. Under the Gramodyog Vikas Yojana of KVIC efforts are being made to improve the economic and social status of more and more artisans by providing advanced training and tool kits through schemes such as Kumhar Sashaktikaran Yojana, Honey Mission, Charm Karigar Sashaktikaran Yojana, Incense Sticks Making, Handmade Paper and so on, said Shri Manoj Kumar.In order to build a prosperous, strong, self-reliant and happy nation, Chairman KVIC motivated the beneficiaries for running their units successfully.  This would motivate the unemployed youth fulfill the Prime Minister of the country’s vision of self-reliant India, Shri Narendra Modi Ji’s motto, “instead of job seeker, be a job provider”. It is notable that the Prime Minister’s Employment Generation Program of the Government of India is playing vital role in providing employment to the unemployed youth of rural and urban areas. Under this scheme, any entrepreneur can set up a unit up to Rs 50 lakh in the manufacturing sector and up to Rs 20 lakh in the service sector. For the establishment of these units, 15% to 25% of the entire project cost is provided to the beneficiaries in urban areas and 25% to 35% in rural areas as grant by the Government of India. Along with this, free entrepreneurship development training is also provided to the beneficiaries after loan approval to make them established entrepreneurs.During the programme, Chairman KVIC interacted with Khadi and Village Industries artisans, organization representatives and entrepreneurs in a discussion “Khadi Samvad” organized for the promotion of ongoing Khadi and Village Industries activities in the area and had lunch in an enthusiastic atmosphere.",1
95,MHI to investigate EV makers for alleged pricing violation under FAME II subsidies,"Ministry of Heavy Industries (MHI) is tightening noose around the top EV makers in the country following alleged defalcation of the FAME II subsidy. The electric vehicle manufacturers have been asked for an explanation of how the maximum ex-factory price cap is being violated.
Previously in 2022, some of the leading EV makers such as Hero Electric as well as Okinawa were also sent notice to put forward documents supporting their subsidy claims and subsidies on these firms were put on hold for some time.
In past, the government has also launched a probe involving import of components by ev companies over allegations of wrongly claimed subsidies under a scheme that promotes manufacturing of EV in the Indian market.Moreover, previous reports also indicate that the Centre is also looking into the matter in a bid to recover the wrongly claimed subsidies via legal options.
With an outlay of Rs 10,000-crore, the FAME subsidy has been aimed to accelerate the use of electric vehicles in the country. The manufacturers of electric vehicles can provide a discount of up to 40% on the overall cost of locally produced battery-powered vehicles and claim it as a subsidy from the Indian government. Thanks to this, the EV makers have been able to retail the vehicles at an affordable cost.
The first leg of the FAME scheme (FAME-I) was introduced in the country back in 2015, and was extended till March 31st, 2019. Following this, the second phase of the programme, or FAME-II was launched the following month, April 1, 2019 and is extended up to March 31, 2024, from the early enclosure of March 31, 2022.",1
101,"UP districts on flood alert as water level rises in Yamuna, Betwa river","view of the rising water levels in the Yamuna and Betwa rivers, a flood alert has been sounded in UP districts which are located on the banks of the rivers.Uttar Pradesh Chief Minister Yogi Adityanath issued special instructions for districts connected with the rivers and asked district magistrates to remain alert regarding floods.

Water levels in the Yamuna and Betwa rivers are rapidly rising due to the release of water from Rajasthan. Dams and barrages of Madhya Pradesh, Rajasthan, Haryana, and Delhi NCR are releasing about 20.5 lakh cubic seconds of water each second into the Yamuna.",1
102,Gaddi Annaram market in Hyderabad closed again,"Gaddi Annaram market which was reopened three days ago after the high court orders has been closed again on Tuesday morning. The high court directed the court to remain the market open till April 6. However, the authorities tried to close the market which resulted in commotion-like situation at the market after the traders went against the officials. The officials also shifted the fruits arrived in lorries to Bata Singaram.

Earlier, the traders approached the high court and complained that the police officials resorted to lathi charge on them when they tried to stop the officials from closing the market following which the court directed to reopen the market.

The traders staged a protest demanding the officials to reopen the market and questioned how could they shut down the market disobeying the high court orders.

One of the traders alleged that the high court asked the officials to hand over the market to the farmers and traders and also directed them to build sheds for them. However, nothing was done by the officials, he added. He continued that the place at the Bata Singaram where the market is temporarily arranged is insufficient for the traders as there are around 95 traders including farmers.",1
103,"UP CM Yogi Adityanath roots for new solar power policy, sets target of 22,000 MW in 5 years"," Emphasising on the need to promote solar projects, chief minister Yogi Adityanath on Sunday set the target of generation of 22,000 MW of solar power in the next five years and asked the officials to formulate a new solar energy policy keeping the future needs in view.
Reviewing the energy requirements of the state at a high level meeting, the CM said, ""Commitment to environmental protection and promotion of non-conventional energy alternatives is necessary to meet the growing energy needs. Solar energy is a very useful
medium from this point of view.""
He said though efforts were being made for the last few years, more planned efforts were required to achieve self-reliance in the energy sector.
""Concerted efforts are required to encourage solar power generation in the state. We have to minimise our dependence on conventional energy options. A new solar energy policy should be prepared keeping in view the future needs. Our target should be to generate 22,000 MW of solar power in the next five years,"" the CM said.
He said that under the guidance of Prime Minister Narendra Modi, the UP government was working on a plan to develop Ayodhya as a 'model solar city'. ""This project will set the benchmark for other cities. All necessary efforts in this regard should be made in a time-bound manner,"" he said. The CM emphasized on the need for a conducive environment for private sector investment in the field of solar energy generation and said that a single window system could be introduced for timely completion of projects.
""All necessary support, including easy availability of land and capital subsidy will be provided to investors in the solar energy sector. While framing a new solar energy policy, do consult the industry. Understand the needs of the investing entities/companies. Take the opinion of all the parties and prepare the new policy after extensive consultation,"" Yogi said.
The CM said that public awareness should be increased to promote installation of solar power plants on rooftops. He said a solar cell should be constituted in districts under the chairmanship of the chief development officer and registration of all solar projects should be made mandatory.
""People should be encouraged to install rooftop solar power plants in all government, residential, public and private commercial buildings as well as educational institutions. These should be linked to the net billing/net metering system as per the requirement,"" he said.
Yogi said prisoners should be trained in making solar energy equipment. ""They should be trained to make solar power panels, LED bulbs etc. It will encourage MSMEs and startups to adopt and implement solar rooftop model,"" he said.",1
104,"Thousands of farmers gather in Delhi for 'mahapanchayat', cause huge traffic snarls","New Delhi: Thousands of farmers from various states gathered at the Jantar Mantar here on Monday to take part in a ""mahapanchayat"" called by a farmers' body, causing massive traffic snarls in Delhi, especially at the city's borders, including Singhu and Ghazipur.

As the farmers associated with different unions reached Delhi, police put up layers of barricades at all the entry points of the city and checked every vehicle entering the national capital, which led to huge traffic jams.

Apart from the borders, including Ghazipur, Singhu and Tikri, key stretches on the Delhi-Meerut Expressway, the Palam flyover, Aurobindo Marg, Ring Road (near Indraprastha Park), the Ghaziabad-Wazirabad road and the Munirka road, among other roads, witnessed traffic snarls.

Other than Punjab, Haryana and Uttar Pradesh, farmers from states such as Karnataka, Maharashtra, Odisha and Kerala arrived in Delhi to take part in the ""mahapanchayat"" that was called demanding a legislation on the minimum support price (MSP) for crops, farm loan waiver and on other issues.

Many of them came with their bags packed and with an intent to stay put. Holding flags and wearing caps given by farmer leaders, they were seen sitting in and around Janpath.

They raised slogans for farmer unity and against the Centre for ""not fulfilling"" its promises.

Magha Nibori, a farmer from Punjab with one acre of farmland on which he cultivates seasonal crops, said he came here fully prepared to stay put, if required.

""We are poor farmers. Nobody is helping us. Nothing is being done for us. We participated in last year's (anti-farm laws) protests as well. The government had assured us that it will listen to our demands but nothing is being done. We will not hesitate to camp here, if required, to get our demands addressed,"" Nibori told PTI.

The heavy security measures led to massive traffic snarls across the city. Police also put up cemented barricades to avoid any untoward incident.

The traffic police informed the commuters about the traffic situation and advised them to plan their journeys accordingly.

""In view of a heightened security scenario and threat perception, some persons or protestors were stopped at the Ghazipur border. However, after due verifications, all of them were allowed to proceed to their respective destinations,"" Deputy Commissioner of Police (East) Priyanka Kashyap said.

In a tweet, police asked motorists to avoid Tolstoy Marg, Sansad Marg, Janpath Road, Ashoka Road, Connaught Place Outer Circle, Baba Kharak Singh Marg and Pandit Pant Marg due to the farmers' congregation.

SKM (non-political) leaders claimed that at some locations, farmers were being stopped from reaching Jantar Mantar. However, the Delhi Police denied the claim.

""This is a daylong peaceful event where we will reiterate our demands such as a legal guarantee on the MSP and the cancellation of the Electricity (Amendment) Bill, 2022 among others,"" said Abhimanyu Singh Kohar, an SKM (non-political) member and one of the organisers of the ""mahapanchayat"".

He, however, added that police are yet to give permission for the ""mahapanchayat"" at the Jantar Mantar.

The SKM (non-political) is a breakaway group of the Samyukt Kisan Morcha (SKM) that had spearheaded the year-long protests at Delhi's borders against three contentious farm laws of the Centre.

Kohar said farmers coming from Punjab, Haryana and Uttar Pradesh were stopped on Sunday night and not allowed to reach the Jantar Mantar. They were taken to Gurdwara Bangla Sahib, Rakabganj and Moti Bagh and released later, he said.

Kohar said during the anti-farm laws protests, the Centre had promised to consider all the demands of the farmers but did nothing.

""So here we are again to raise our demands and chalk out the future strategy of the movement,"" he added.

In November 2020, thousands of farmers from Punjab, Haryana and Uttar Pradesh had camped at Delhi's border points in protest against the three farm laws, which were repealed a year later.

The farmers had suspended their movement in December last year after the Centre assured them to consider their other demands concerning a legal guarantee on the MSP and withdrawal of cases against them, among others.

Mahendra Singh from Punjab, who had to undergo partial hand and finger amputation due to an accident a few years ago, said he has not received his pension for several months.

""I have come here from Gidder Pani in Punjab. My pension has not been credited for months and no official has any answer. The Centre is also not fulfilling our demands related to the MSP and other issues. I have come here to ask for my rights,"" he said.

Farmer leader Rakesh Tikait was detained by the Delhi Police at the Ghazipur border on Sunday while he was trying to enter the capital to take part in a protest against unemployment at the Jantar Mantar.

Tikait had alleged that the Delhi Police was working at the behest of the BJP-led Centre and did not allow him to meet the unemployed youngsters.",1
105,"Lumpy skin disease: Union minister Rupala assures help to Punjab, Haryana","Union Minister Parshottam Rupala Tuesday reviewed the vaccination of cattle in Punjab and Haryana in the wake of lumpy skin disease affecting a large number of animals and assured help from the Centre.

Rupala, the Minister for Fisheries, Animal Husbandry and Dairying, held meetings with Punjab Animal Husbandry Minister Laljit Singh Bhullar and Haryana’s Animal Husbandry Minister J P Dalal here to review the situation in the two neighbouring states including availability of vaccine and arrangements being made by the state governments for prevention of the disease.

He later said he assured the two states of the Centre’s total help for the eradication of the disease and also encouraged them to carry out a larger number of vaccinations.

Punjab minister Bhullar raised the demand for arranging goat pox vaccine in adequate quantity for more than 25 lakh livestock. He said the Punjab government has administered 2.05 lakh doses of vaccine to cattle till Monday evening. The affected animals are being monitored and adequate medication and other precautions are being ensured as per the Government of India guidelines.Bhullar said he had visited various districts of Punjab to get first-hand information about the problems of milk producers. Fazilka, Sri Muktsar Sahib, Faridkot, Ferozepur, Bathinda, Tarn Taran, Jalandhar and Amritsar are the most affected districts, he said.

The Punjab minister pointed out that there is a huge difference in prices of different vaccines. “Hence, the uniformity in the price and availability of doses in sufficient quantities should be ensured,” he said.

To this, Rupala assured that prices of vaccines will be rationalised and the supply in the required quantity to the state will be ensured, according to an official release of the Punjab government.

The Union minister said Haryana minister Dalal informed him that so far eight districts in the state are free from this disease as not even a single case has been reported there.

Rupala directed the states to follow the guidelines issued by the central government to deal with the disease through vaccination drive. He directed that vaccination should be done first in the districts where there are animals suffering from the disease so that its spread to other districts can be stopped.

He also directed the officials concerned from the two states to prepare isolation wards for affected animals to prevent the disease from spreading further.

Rupala later told reporters that both the state governments at their level are working at the ground level to check spread of the disease in animals. He said guidelines have been given how to bury animals after they die of the disease.

J P Dalal said so far 14 districts of Haryana are affected and 87 cows have died due to the disease so far, he said.

He said 3 lakh doses of goat pox vaccine had earlier been ordered by Haryana. “We will need 18-20 lakh more doses,” Dalal told reporters after the meeting.

Dalal said ICAR-National Research Centre on Equines (ICAR-NRCE), Hisar (Haryana), in collaboration with ICAR-Indian Veterinary Research Institute (IVRI), Izatnagar, Uttar Pradesh, has developed a homologous live-attenuated LSD vaccine “Lumpi-ProVacInd”.

“We have urged the Centre that the approval for this vaccine should be fast-tracked and told them that this can be manufactured at ICAR-NRCE, Hisar. The Union minister said that the entire process and protocols that need to be followed may take 2-3 months,” said Dalal.

Vikas Pratap, Principal Secretary, Animal Husbandry, Punjab, said as many as 74,325 animals have been suspected to be affected by this disease in the state. Of these, 39,248 are cured till date in the state, he said.

Punjab has so far received 3.16 lakh doses of vaccine, said the principal secretary.

Earlier in the day, former Union minister Harsimrat Kaur Badal said the Punjab government should give the dairy farmers compensation of at least Rs 50,000 for each animal that died due to lumpy skin disease.

The SAD MP from Bathinda also urged Rupala to send central teams to Punjab for effective monitoring and vaccination of animals. She accused the AAP government in Punjab of not doing the needful as hundreds of animals have died while thousands of cattle have been affected by this disease.",1
106,Farmers should keep fighting till they get remunerative prices: KCR in Chandigarh,"Telangana Chief Minister K Chandrashekar Rao on Sunday reached out to farmers in Punjab and Haryana, saying they can change government if they want and should keep fighting till they get a constitutional guarantee for remunerative prices of their crops.

The Telangana chief minister also paid tributes to the farmers who died during the course of the agitation against the Centre's now-repealed farm laws and said he bows to their grit and determination.""If farmers want, they can change government. It is not a big thing. From where the power comes, it comes from us. The agitation should continue till farmers get the right price and there is a constitutional guarantee for it,"" he said.

He urged farmers that their next agitation should be throughout the country.

""Farmers from north, south, east and west should fight together,"" said the chief minister, who is visiting multiple states apparently eyeing a role in the national politics.

He met Samajwadi Party chief Akhilesh Yadav on Saturday and had a lunch with Delhi Chief Minister Arvind Kejriwal on Sunday. Rao, also called KCR, is scheduled to visit Bihar and West Bengal in coming days.

In Chandigarh, he was accompanied on the dais by Kejriwal, Punjab Chief Minister Bhagwant Mann and farmer leader Rakesh Tikait.

Without naming the BJP-led Centre, Rao said it does not like it if any state or a chief minister does something for farmers as he addressed the kin of those who died during the stir against the farm laws.

Punjab Chief Minister Bhagwant Mann's announcement of giving minimum support price on moong was also not liked by them, he said.

""We give food to the country after toiling hard in the fields. There should be justice with us. There should not be such a painful situation,"" he added.

""If any state or CM does anything for farmers' welfare, they do not like it. They put pressure on you,"" Rao said.

Referring to the stir against the central laws, he said farmers were called Khalistani and traitors.

""Eyes well up. It is painful. Why is our country such? There is a need to worry about it,"" he said.

Rao said there are many problems for which people have to struggle, die and sacrifice their lives.

""Problems are there in every country. The kind of problems we have, it does not exist anywhere,"" he said.

Rao said before the formation of Telangana state, the situation of the farming community was pitiable.

""Every day, 10-20 farmers used to commit suicide and there was also power shortage. Nobody was there to hear the farmers out,"" said Rao.

He said after the formation of Telangana as a state, the power situation was set right and round the clock electricity was given to every sector.

""Why I am saying this today is because the government which is sitting in Delhi is asking for installation of meters, measuring their consumption and taking charges,"" the Telangana chief minister said.

""We had said in our assembly we will not let the meters installed even if we have to die for it. They can do anything,"" he said apparently referring to the Centre.

Rao also lauded the contribution of Punjab to the freedom struggle and bringing green revolution in the farming sector. ""Indian history can never forget it. Punjab brought green revolution and fed the country. it can never be forgotten,"" he said.

Rao distributed cheques for Rs 3 lakh as financial assistance to the kin of the farmers, who died during the stir against the farm laws.

Over 700 farmers had died during the course of the agitation at the Delhi borders due to various reasons, including harsh winter, road accidents, cardiac arrest and ailments.

Rao also gave Rs 10 lakh compensation each to families of four Punjab soldiers who died in a violent clash between Indian and Chinese troops at Galwan Valley in Ladakh in 2020.",1
107,"Punjab farmers sit on protest near Chandigarh-Mohali border, CM terms it 'unwarranted'","A farmer leader said they do not want any confrontation with the state government, but they will have to break the barriers and move towards Chandigarh if their issues were not resolved.Punjab farmers sat on a protest near the Chandigarh-Mohali border on Tuesday after being stopped from heading to the state capital to press the AAP government with various demands, including a bonus on wheat and beginning paddy sowing from June 10.

Terming the protest ""unwarranted and undesirable"" Chief Minister Bhagwant Mann asked the farmer unions to stop sloganeering and join hands with the state government to stop Punjab's depleting water table.

Mann said his doors are open for the farmers to hold talks but ""hollow slogans"" cannot break his resolve to check further depletion of the water table.

He also said that he is a farmer's son and is well aware of the issues afflicting crop growers.

Earlier, farmer leader Jagjit Singh Dallewal gave an ultimatum to the Punjab government, saying if the chief minister does not hold a meeting with the protesters by Wednesday, they will move towards Chandigarh breaking barricades for holding an indefinite protest.

A heavy contingent of police was deployed at the Chandigarh-Mohali border in the wake of several farmer bodies' call for an indefinite protest in the Union Territory over their demands.

The Mohali police put up barricades and tippers and rolled out water cannons to prevent protesting farmers from entering Chandigarh.

The Chandigarh police too made similar security arrangements.

""It is the start of our struggle in Punjab and it will continue till our demands are met. Only 25 per cent of farmers have come here so far. More will come tomorrow. It is a do or die battle,"" said a farmer leader.

Several farmer unions had given a call for an indefinite protest in Chandigarh on the lines of the year-long agitation at the Delhi borders against the Centre's three farm laws which were repealed in response to the protests.

The call was given by the farmer bodies several days ago.

Among their various demands, farmers want a Rs 500 bonus on each quintal of wheat as their yield has dropped and shrivelled because of unprecedented heatwave conditions.

They are also against the Punjab government's decision to allow paddy sowing in a staggered manner from June 18 to lessen the electricity burden and conserve underground water.

The protesters want the government to allow them to sow paddy from June 10.

They also want a notification issued for the minimum support price for maize and moong.

They are also demanding the government lower the charges on the extension of electricity load from Rs 4,800 to Rs 1,200, 10-12 hours of power supply and release of outstanding sugarcane payment.

The protesters are also against the installation of smart electricity meters.

Carrying ration, beds, fans, coolers, utensils, cooking gas cylinders and other items, farmers from across Punjab assembled at Gurdwara Amb Sahib in Mohali.

The protesting farmers said they had got a message from the Punjab government for a meeting.

""We got a message from the Union Territory DGP that a meeting with Chief Minister Mann has been fixed on Wednesday at 11 am. Then another message came, saying as the CM has gone to Delhi and the meeting can be held with the chief secretary,"" Dallewal told reporters on Tuesday evening.

He said the protesters were not hopeful of getting their issues redressed by meeting a government official.

""It is our warning that if Chief Minister Mann does not hold a meeting with us and resolve our issues by tomorrow, we will be compelled to move ahead further,"" Dallewal said.

The chief minister, however, said the protesting farmers can come anytime for the meeting but sought their support for his government's efforts in protecting the environment.

""Talks are always open. They (farmers) have a democratic right for holding a 'dharna' but they should spell out their issues,"" Mann told reporters after returning from Delhi.

About the protesting farmers being adamant about meeting him only, the chief minister asked whether ""raising 'murdabad' slogans is the way to holding a meeting"".

He said the MSP on moong and basmati crops would be given to the farmers.

Seeking their support for a year, Mann said if the farmers suffer any loss during this period they will be fully compensated by the state government.

About the date of starting the paddy-sowing season, he said, ""I am the son of a farmer. I know how it can happen. What is the difference between June 18 and 10.""

Earlier in the day, the protesters began their march from Gurdwara Amb Sahib and broke the first layer of barricades as they moved towards the other barriers put up by the Mohali Police near the Chandigarh-Mohali border.

But Dallewal urged the protesters not to break the second layer of barricades and instead sat on a protest there peacefully.

""Moving ahead (by breaking barricades) is not a big thing for you. But we will sit here in a peaceful manner,"" Dallewal said.

""We will hold a protest here. It is like the agitation in Delhi.""

Bharti Kisan Union (Lakhowal) General Secretary Harinder Singh Lakhowal said, ""We will win this protest.""

He said that during their last meeting with the chief minister on April 17, they had submitted a charter of 11 demands and Mann had assured them of resolving their issues.

But not a single demand has been accepted yet, Lakhowal claimed.

After being stopped by the Mohali Police, farmers squatted there while parking their vehicles in the middle of the road.

Some of them even started to make tea there.

The police had to divert traffic on the Chandigarh-Mohali road near the YPS Chowk to alternative routes.

AAP's Punjab unit chief spokesperson Malvinder Singh Kang said the state government is committed to the welfare of farmers and it will address their genuine demands.

""If the farmer bodies want to hold a dialogue for the farming sector, the doors of the state government are always open,"" Kang said.",1
108,Work on installation of smog tower has started: Centre to SC,"The central government told the Supreme Court on Monday that work had started on the installation of a smog tower at Anand Vihar in east Delhi according to its directions.Solicitor general Tushar Mehta, representing the Centre, informed a three-judge bench headed by justice Arun Mishra that survey of the site for constructing the tower was complete and that the installation was being done in collaboration with IIT Bombay.

“Collection of soil samples is in progress and we are in the process of appointing an architect to make site drawing, etc. IIT Bombay and TATA projects have tied up with University of Minnesota as it is a patent-protected innovation. University of Minnesota has agreed to share the technology,” Mehta submitted.

The development came after the Supreme Court had, on July 29, threatened contempt of court action against IIT Bombay after it expressed unwillingness to take responsibility for the project and proposed to back out.",1
109,"Tamil Nadu to witness rain until November 20, says weather bureau","A Low pressure area is likely to form over Southeast Bay of Bengal and adjoining Andaman Sea in the next 24 hours. It is likely to move west­northwestwards and gradually concentrate into a Depression over central parts of South Bay of Bengal in the next 48 hours.Tamil Nadu, Puducherry, and Karaikal are likely to experience light to moderate rainfall for the next four days starting Wednesday, the Regional Meteorological Centre, Chennai, predicted. ",1
111,"Uttar Pradesh aims to plant 35 cr saplings this year, 175 cr in next 5 years","The spirit of the Indian culture of nature conservation calls for a large-scale tree plantation campaign: CM Yogi AdityanathWith an aim to plant 35 crore saplings across the state this year, Uttar Pradesh aims to launch its plantation drive from July 1, said a press statement from the state government on Friday.Farmers, beneficiaries of the Prime Minister’s award in the environment, empowered forces, women, specially-abled, low-income group, visually impaired, MGNREGA job cardholders, self-help groups, village level and city development workers, forest workers, tribal-forest, Chief Minister Abhyudaya Yojana beneficiaries, teachers and students will also be involved in the plantation drive, the statement added.

“A total of 35 crore saplings will be planted across the state by August 15 and a total of 175 crore saplings will be planted in the next five years. To mark ‘Azadi ka Amrit Mahotsav’, 75 saplings will be planted in each village on August 15,” said the press statement.

Chairing a high-level review meeting, chief minister Yogi Adityanath said that with the spirit of the Indian culture of nature conservation, there is a need to take forward the tree plantation campaign as a mass movement.According to the state of forest report 2021, 9.23% of the total geographical area of Uttar Pradesh has
forest cover. In 2013 it was 8.82%. There has been an increase of 91 square kilometres in the total forest
cover and tree cover during 2019. The government has now set a target of further enhancing this area
to 15% by 2030.
Indigenous plants like Banyan, Peepal, Pakad, Neem, Bael, Amla, Mango, Jackfruit, and Drumstick will
get preference during the plantation drive. The nodal agency for plantation is the forest department.
But apart from the forest department, 26 other departments will participate in the grand campaign of
the plantation.
The target of each department is already set. In this respect, the highest target of 12.60 crores and
12.32 crore is for the forest and rural development departments respectively. Apart from this, the
target of the agriculture department and horticulture department is 2.35 crore and 1.55",1
112,"Price of fish soars due to rise in fuel prices, less supply","Mangaluru: With the fish catch dropping due to an increase in temperature at sea, coupled by a rise in diesel price, the supply of fresh fish landing at the Old Port had reduced drastically, leading to 20% to 30% rise in prices of commonly available fish as well as premium fish.
The drop in catch and diesel price hike has been a deterrent for boats venturing into the sea, though the monsoon fishing ban is just a month away. If on an average, 50 boats used to land at the Old Port during this season last year, the count is barely 10, since the last fortnight.
Adding to this, with only a few varieties of fish being available in the market, and the availability of premium fish in the market coming down, the prices are seeing a steep increase.
KFDC sources said that only disco fish (big eye snapper), brown prawns and mackerel are landing in sufficient quantities, whereas the quantity of premium fish like seer and white pomfret are just two boat loads, as against 10-15 during this season last year. Black pomfret have become very rare, with their catch landing in the market only twice or thrice a week, again leading to an increase in price.
There’s no silver fish (anchovy), koddai (coaker) and ade (false trevally), nang (large tooth flounder) available, and what arrives here is from Chennai.
With sardines also becoming rare, their price, when available, almost matches with mackerel, which retails around Rs 200/kg. The price of seer fish and white pomfret is about Rs 900 to Rs 1,000/kg at the landing centres itself. Kaane (lady fish) though available, is also on the pricier side, at Rs 900/kg.
“Only if there’s news of good catch, it’ll spur some more boats to venture into the sea. The owners spend around Rs 1 lakh per trip, and without a good catch becomes unprofitable,’’ said a source.
Perhaps, this is for the first time in many years, the catch of fish has become so less, even though fish migrate for breeding during the pre-monsoon month, said the source, adding that this will continue till fishermen locate good schools of fish. Most fishermen have said that they are abstaining from fishing, as the catch is less, and with the escalated fuel price, it is wiser not to go fishing, as they are not assured of breaking even.Fresh fish rates (per kg)
Sardine: Rs 180
Mackerel: Rs 200
Seer: Rs 1,000
Adavu: Rs 290
Crab: Rs 320
Sole: Rs 350
Squid: Rs 380
White pomfret: Rs 1,150
Ladyfish: Rs 900
Prawns: Rs 390
Karimeen:Rs 540
Source-KFDC",1
